#{"t_start": 1741971767.6239128, "env_id": "None"}
r,l,t
-595.6601,109,4.655234
-6247.79893,730,46.437227
-113.00024,387,61.724723
-142.34714,495,80.842879
-425.8894,617,105.213675
-175.37994,436,121.916296
-316.47382,503,141.795322
-197.48398,335,155.417959
-419.3153,482,174.392138
-221.11923,581,197.204129
15.611832,255,207.373199
-8.758141,364,222.268475
-181.74548,552,243.686786
-43.113815,325,256.983088
-371.93762,918,292.886306
-130.989,486,312.07602
-374.78268,574,335.031233
-203.2526,744,364.348485
-386.02603,519,384.925851
-714.30597,477,403.682188
